Started at 2014-07-31 18:03:04

Ignored: Chickens, stored: 1s, 6c. Got 1s, 6c.
Ignored: Childrens Hospital, stored: 5s, 51c. Got 5s, 51c.
Ignored: Chosen, stored: 3s, 18c. Got 3s, 18c.
Ignored: Chozen, stored: 1s, 4c. Got 1s, 4c.
Ignored: Chuck, stored: 5s, 89c. Got 5s, 89c.
Ignored: Clash Of The Gods, stored: 1s, 10c. Got 1s, 10c.
Ignored: Cold Blood, stored: 1s, 1c. Got 1s, 1c.
Ignored: Cold Case, stored: 4s, 48c. Got 4s, 48c.
Ignored: Collision, stored: 1s, 5c. Got 1s, 5c.
Ignored: Coma, stored: 1s, 2c. Got 1s, 2c.
Ignored: Combat Hospital, stored: 1s, 13c. Got 1s, 13c.
Ignored: Come fly with me, stored: 1s, 6c. Got 1s, 6c.
Ignored: Comedy Central Roast, stored: 1s, 5c. Got 1s, 5c.
Ignored: Comic Book Men, stored: 3s, 36c. Got 3s, 36c.
Ignored: Commander in Chief, stored: 1s, 1c. Got 1s, 1c.
Ignored: Common Law, stored: 1s, 12c. Got 1s, 12c.
Ignored: Community, stored: 5s, 97c. Got 5s, 97c.
Ignored: Complicit, stored: 1s, 1c. Got 1s, 1c.
Ignored: Connections, stored: 1s, 7c. Got 1s, 7c.
Ignored: Constantine (2014), stored: 1s, 1c. Got 1s, 1c.
Ignored: Continuum, stored: 3s, 36c. Got 3s, 36c.
Ignored: Copper, stored: 2s, 24c. Got 2s, 24c.
Ignored: Cosmos: A SpaceTime Odyssey, stored: 1s, 13c. Got 1s, 13c.
Ignored: Cougar Town, stored: 5s, 87c. Got 5s, 87c.
Ignored: Count Arthur Strong, stored: 1s, 6c. Got 1s, 6c.
Ignored: Coupling, stored: 3s, 22c. Got 3s, 22c.
Ignored: Covert Affairs, stored: 5s, 65c. Got 5s, 65c.
Ignored: Cowboy Bebop, stored: 1s, 2c. Got 1s, 2c.
Ignored: Cracked, stored: 2s, 21c. Got 2s, 21c.
Ignored: Crash, stored: 2s, 26c. Got 2s, 26c.
Ignored: Crash (UK), stored: 1s, 6c. Got 1s, 6c.
Ignored: Crime and punishment, stored: 1s, 2c. Got 1s, 2c.
Ignored: Criminal Justice, stored: 1s, 1c. Got 1s, 1c.
Ignored: Criminal Minds, stored: 6s, 141c. Got 6s, 141c.
Ignored: Criminal Minds: Suspect Behavior, stored: 1s, 13c. Got 1s, 13c.
Ignored: Crisis, stored: 1s, 13c. Got 1s, 13c.
Ignored: Crooked House, stored: 1s, 3c. Got 1s, 3c.
Ignored: Crossbones, stored: 1s, 7c. Got 1s, 7c.
Ignored: Crossing Lines, stored: 1s, 9c. Got 1s, 9c.
Ignored: Crownies, stored: 1s, 1c. Got 1s, 1c.
Ignored: Crusoe, stored: 1s, 13c. Got 1s, 13c.
Ignored: CSI, stored: 8s, 145c. Got 8s, 145c.
Ignored: CSI Miami, stored: 6s, 116c. Got 6s, 116c.
Ignored: CSI NY, stored: 5s, 105c. Got 5s, 105c.
Ignored: Cuckoo, stored: 1s, 4c. Got 1s, 4c.
Ignored: Cult, stored: 1s, 13c. Got 1s, 13c.
Ignored: Cupid, stored: 1s, 7c. Got 1s, 7c.
Ignored: Curb your enthusiasm, stored: 2s, 21c. Got 2s, 21c.
Ignored: Da Vinci's Demons, stored: 2s, 18c. Got 2s, 18c.
Ignored: Dads, stored: 1s, 18c. Got 1s, 18c.
Ignored: Dallas (2012), stored: 3s, 33c. Got 3s, 33c.
Ignored: Damages, stored: 4s, 46c. Got 4s, 46c.
Ignored: Dance Academy, stored: 3s, 18c. Got 3s, 18c.
Ignored: Dancing on the edge, stored: 1s, 6c. Got 1s, 6c.
Ignored: Danger 5, stored: 1s, 5c. Got 1s, 5c.
Ignored: Dangerous Lady, stored: 1s, 1c. Got 1s, 1c.
Ignored: Dark Blue, stored: 2s, 20c. Got 2s, 20c.
Ignored: Dates, stored: 1s, 9c. Got 1s, 9c.
Ignored: Dating Rules from my future self, stored: 1s, 1c. Got 1s, 1c.
Ignored: Day Break, stored: 1s, 1c. Got 1s, 1c.
Ignored: DCI Banks: Aftermath, stored: 3s, 9c. Got 3s, 9c.
Ignored: De Smaak Van De Keyser, stored: 1s, 1c. Got 1s, 1c.
Ignored: Dead Boss, stored: 1s, 6c. Got 1s, 6c.
Ignored: Dead Set, stored: 1s, 5c. Got 1s, 5c.
Ignored: Deadbeat, stored: 1s, 3c. Got 1s, 3c.
Ignored: Deadliest Catch, stored: 2s, 9c. Got 2s, 9c.
Ignored: Deadliest Warrior, stored: 1s, 1c. Got 1s, 1c.
Ignored: Death Comes to Pemberley, stored: 1s, 3c. Got 1s, 3c.
Ignored: Death Comes to Town, stored: 1s, 1c. Got 1s, 1c.
Ignored: Death in Paradise, stored: 3s, 15c. Got 3s, 15c.
Ignored: Death Valley, stored: 1s, 12c. Got 1s, 12c.
Ignored: Debtocracy, stored: 1s, 1c. Got 1s, 1c.
Ignored: Deception, stored: 1s, 11c. Got 1s, 11c.
Ignored: Defiance, stored: 2s, 19c. Got 2s, 19c.
Ignored: Defying gravity, stored: 1s, 11c. Got 1s, 11c.
Ignored: Degrassi: The Next Generation, stored: 5s, 54c. Got 5s, 54c.
Ignored: Dekalog, stored: 1s, 4c. Got 1s, 4c.
Ignored: Delirium, stored: 1s, 1c. Got 1s, 1c.
Ignored: Demons, stored: 1s, 6c. Got 1s, 6c.
Ignored: Den Fordomde, stored: 1s, 1c. Got 1s, 1c.
Ignored: Den som draeber, stored: 1s, 4c. Got 1s, 4c.
Ignored: Der Chinese, stored: 1s, 1c. Got 1s, 1c.
Ignored: Derek, stored: 2s, 13c. Got 2s, 13c.
Ignored: Desperate Housewives, stored: 4s, 91c. Got 4s, 91c.
Ignored: Desperate Romantics, stored: 1s, 6c. Got 1s, 6c.
Ignored: Destination Truth, stored: 1s, 1c. Got 1s, 1c.
Ignored: Detective Conan, stored: 2s, 4c. Got 2s, 4c.
Ignored: Detroit 187, stored: 1s, 18c. Got 1s, 18c.
Ignored: Devious Maids, stored: 2s, 26c. Got 2s, 26c.
Ignored: Dexter, stored: 8s, 96c. Got 8s, 96c.
Ignored: Dharma , stored: 1s, 1c. Got 1s, 1c.
Ignored: Dirk Gently, stored: 1s, 3c. Got 1s, 3c.
Ignored: Dirk Gently (2010), stored: 1s, 1c. Got 1s, 1c.
Ignored: Dirty Sexy Money, stored: 2s, 22c. Got 2s, 22c.
Ignored: Dive, stored: 1s, 2c. Got 1s, 2c.
Ignored: Divine: The Series, stored: 1s, 6c. Got 1s, 6c.
Ignored: Do No Harm, stored: 1s, 13c. Got 1s, 13c.
Ignored: Doc Martin, stored: 4s, 25c. Got 4s, 25c.
Ignored: Doctor Who (1963), stored: 2s, 9c. Got 2s, 9c.
Ignored: Doctor Who (2005), stored: 8s, 121c. Got 8s, 121c.
Ignored: Doctor Who Confidential, stored: 3s, 35c. Got 3s, 35c.
Ignored: Doctor Who Greatest Moments, stored: 1s, 3c. Got 1s, 3c.
Ignored: Doll , stored: 1s, 2c. Got 1s, 2c.
Ignored: Dollhouse, stored: 2s, 27c. Got 2s, 27c.
Ignored: Dominion, stored: 1s, 6c. Got 1s, 6c.
Ignored: Dont Trust the B in Apartment 23, stored: 2s, 26c. Got 2s, 26c.
Ignored: Doogie Howser M.D, stored: 1s, 1c. Got 1s, 1c.
Ignored: Downton Abbey, stored: 4s, 35c. Got 4s, 35c.
Ignored: Dr. Horrible's Sing Along Blog, stored: 1s, 4c. Got 1s, 4c.
Ignored: Dracula (2013), stored: 1s, 10c. Got 1s, 10c.
Ignored: Dragons: Riders of Berk, stored: 2s, 23c. Got 2s, 23c.
Ignored: Drifters, stored: 1s, 4c. Got 1s, 4c.
Ignored: Drop Dead Diva, stored: 6s, 76c. Got 6s, 76c.
Ignored: Drunk History, stored: 2s, 4c. Got 2s, 4c.
Ignored: Drunken to love you, stored: 1s, 2c. Got 1s, 2c.
Ignored: Due South, stored: 1s, 14c. Got 1s, 14c.
Ignored: Durham County, stored: 3s, 18c. Got 3s, 18c.
Ignored: Eagleheart, stored: 2s, 15c. Got 2s, 15c.
Ignored: Early Edition, stored: 1s, 3c. Got 1s, 3c.
Ignored: Earth The Biography, stored: 1s, 5c. Got 1s, 5c.
Ignored: Earth The Power of the Planet, stored: 1s, 5c. Got 1s, 5c.
Ignored: Eastbound and Down, stored: 4s, 29c. Got 4s, 29c.
